Id	Code	Province	County	City
10830	60628	IL	Cook	Chicago
10831	60629	IL	Cook	Chicago
10832	60630	IL	Cook	Chicago
10833	60631	IL	Cook	Chicago
10834	60632	IL	Cook	Chicago
10835	60633	IL	Cook	Chicago
10836	60634	IL	Cook	Chicago
10837	60636	IL	Cook	Chicago
10838	60637	IL	Cook	Chicago
10839	60638	IL	Cook	Chicago
10840	60639	IL	Cook	Chicago
10841	60640	IL	Cook	Chicago
10842	60641	IL	Cook	Chicago
10843	60643	IL	Cook	Chicago
10844	60644	IL	Cook	Chicago
10845	60645	IL	Cook	Chicago
10846	60646	IL	Cook	Chicago
10847	60647	IL	Cook	Chicago
10848	60649	IL	Cook	Chicago
10849	60651	IL	Cook	Chicago
10850	60652	IL	Cook	Chicago
10851	60653	IL	Cook	Chicago
10852	60654	IL	Cook	Chicago
10853	60655	IL	Cook	Chicago
10854	60656	IL	Cook	Chicago
10855	60657	IL	Cook	Chicago
10856	60659	IL	Cook	Chicago
10857	60660	IL	Cook	Chicago
10858	60661	IL	Cook	Chicago
10859	60663	IL	Cook	Chicago
10860	60664	IL	Cook	Chicago
10861	60666	IL	Cook	Chicago
10862	60668	IL	Cook	Chicago
10863	60669	IL	Cook	Chicago
10864	60670	IL	Cook	Chicago
10865	60673	IL	Cook	Chicago
10866	60674	IL	Cook	Chicago
10867	60675	IL	Cook	Chicago
10868	60677	IL	Cook	Chicago
10869	60678	IL	Cook	Chicago
10870	60679	IL	Cook	Chicago
10871	60680	IL	Cook	Chicago
10872	60681	IL	Cook	Chicago
10873	60682	IL	Cook	Chicago
10874	60684	IL	Cook	Chicago
10875	60685	IL	Cook	Chicago
10876	60686	IL	Cook	Chicago
10877	60687	IL	Cook	Chicago
10878	60688	IL	Cook	Chicago
10879	60689	IL	Cook	Chicago
10880	60690	IL	Cook	Chicago
10881	60691	IL	Cook	Chicago
10882	60693	IL	Cook	Chicago
10883	60694	IL	Cook	Chicago
10884	60695	IL	Cook	Chicago
10885	60696	IL	Cook	Chicago
10886	60697	IL	Cook	Chicago
10887	60699	IL	Cook	Chicago
10888	60701	IL	Cook	Chicago
10889	60706	IL	Cook	Harwood Heights
10890	60707	IL	Cook	Elmwood Park
10891	60712	IL	Cook	Lincolnwood
10892	60714	IL	Cook	Niles
10893	60803	IL	Cook	Alsip
10894	60804	IL	Cook	Cicero
10895	60805	IL	Cook	Evergreen Park
10896	60827	IL	Cook	Riverdale
10897	60901	IL	Kankakee	Kankakee
10898	60910	IL	Kankakee	Aroma Park
10899	60911	IL	Iroquois	Ashkum
10900	60912	IL	Iroquois	Beaverville
10901	60913	IL	Kankakee	Bonfield
10902	60914	IL	Kankakee	Bourbonnais
10903	60915	IL	Kankakee	Bradley
10904	60917	IL	Kankakee	Buckingham
10905	60918	IL	Iroquois	Buckley
10906	60919	IL	Ford	Cabery
10907	60920	IL	Livingston	Campus
10908	60921	IL	Livingston	Chatsworth
10909	60922	IL	Iroquois	Chebanse
10910	60924	IL	Iroquois	Cissna Park
10911	60926	IL	Iroquois	Claytonville
10912	60927	IL	Iroquois	Clifton
10913	60928	IL	Iroquois	Crescent City
10914	60929	IL	Livingston	Cullom
10915	60930	IL	Iroquois	Danforth
10916	60931	IL	Iroquois	Donovan
10917	60932	IL	Vermilion	East Lynn
10918	60933	IL	Ford	Elliott
10919	60934	IL	Livingston	Emington
10920	60935	IL	Kankakee	Essex
10921	60936	IL	Ford	Gibson City
10922	60938	IL	Iroquois	Gilman
10923	60939	IL	Iroquois	Goodwine
10924	60940	IL	Kankakee	Grant Park
10925	60941	IL	Kankakee	Herscher
10926	60942	IL	Vermilion	Hoopeston
10927	60944	IL	Kankakee	Hopkins Park
10928	60945	IL	Iroquois	Iroquois
10929	60946	IL	Ford	Kempton
10930	60948	IL	Iroquois	Loda
10931	60949	IL	Champaign	Ludlow
10932	60950	IL	Kankakee	Manteno
10933	60951	IL	Iroquois	Martinton
10934	60952	IL	Ford	Melvin
10935	60953	IL	Iroquois	Milford
10936	60954	IL	Kankakee	Momence
10937	60955	IL	Iroquois	Onarga
10938	60956	IL	Iroquois	Papineau
10939	60957	IL	Ford	Paxton
10940	60959	IL	Ford	Piper City
10941	60960	IL	Vermilion	Rankin
10942	60961	IL	Kankakee	Reddick
10943	60962	IL	Ford	Roberts
10944	60963	IL	Vermilion	Rossville
10945	60964	IL	Kankakee	Saint Anne
10946	60966	IL	Iroquois	Sheldon
10947	60967	IL	Iroquois	Stockland
10948	60968	IL	Iroquois	Thawville
10949	60969	IL	Kankakee	Union Hill
10950	60970	IL	Iroquois	Watseka
10951	60973	IL	Iroquois	Wellington
10952	60974	IL	Iroquois	Woodland
10953	61001	IL	Jo Daviess	Apple River
10954	61006	IL	Lee	Ashton
10955	61007	IL	Ogle	Baileyville
10956	61008	IL	Boone	Belvidere
10957	61010	IL	Ogle	Byron
10958	61011	IL	Boone	Caledonia
10959	61012	IL	Boone	Capron
10960	61013	IL	Stephenson	Cedarville
10961	61014	IL	Carroll	Chadwick
10962	61015	IL	Ogle	Chana
10963	61016	IL	Winnebago	Cherry Valley
10964	61018	IL	Stephenson	Dakota
10965	61019	IL	Stephenson	Davis
10966	61020	IL	Ogle	Davis Junction
10967	61021	IL	Lee	Dixon
10968	61024	IL	Winnebago	Durand
10969	61025	IL	Jo Daviess	East Dubuque
10970	61027	IL	Stephenson	Eleroy
10971	61028	IL	Jo Daviess	Elizabeth
10972	61030	IL	Ogle	Forreston
10973	61031	IL	Lee	Franklin Grove
10974	61032	IL	Stephenson	Freeport
10975	61036	IL	Jo Daviess	Galena
10976	61037	IL	Whiteside	Galt
10977	61038	IL	Boone	Garden Prairie
10978	61039	IL	Stephenson	German Valley
10979	61041	IL	Jo Daviess	Hanover
10980	61042	IL	Lee	Harmon
10981	61043	IL	Ogle	Holcomb
10982	61044	IL	Stephenson	Kent
10983	61046	IL	Carroll	Lanark
10984	61047	IL	Ogle	Leaf River
10985	61048	IL	Stephenson	Lena
10986	61049	IL	Ogle	Lindenwood
10987	61050	IL	Stephenson	McConnell
10988	61051	IL	Carroll	Milledgeville
10989	61052	IL	Ogle	Monroe Center
10990	61053	IL	Carroll	Mount Carroll
10991	61054	IL	Ogle	Mount Morris
10992	61057	IL	Lee	Nachusa
10993	61059	IL	Jo Daviess	Nora
10994	61060	IL	Stephenson	Orangeville
10995	61061	IL	Ogle	Oregon
10996	61062	IL	Stephenson	Pearl City
10997	61063	IL	Winnebago	Pecatonica
10998	61064	IL	Ogle	Polo
10999	61065	IL	Boone	Poplar Grove
11000	61067	IL	Stephenson	Ridott
11001	61068	IL	Ogle	Rochelle
11002	61070	IL	Stephenson	Rock City
11003	61071	IL	Whiteside	Rock Falls
11004	61072	IL	Winnebago	Rockton
11005	61073	IL	Winnebago	Roscoe
11006	61074	IL	Carroll	Savanna
11007	61075	IL	Jo Daviess	Scales Mound
11008	61077	IL	Winnebago	Seward
11009	61078	IL	Carroll	Shannon
11010	61079	IL	Winnebago	Shirland
11011	61080	IL	Winnebago	South Beloit
11012	61081	IL	Whiteside	Sterling
11013	61084	IL	Ogle	Stillman Valley
11014	61085	IL	Jo Daviess	Stockton
11015	61087	IL	Jo Daviess	Warren
11016	61088	IL	Winnebago	Winnebago
11017	61089	IL	Stephenson	Winslow
11018	61091	IL	Ogle	Woosung
11019	61101	IL	Winnebago	Rockford
11020	61102	IL	Winnebago	Rockford
11021	61103	IL	Winnebago	Rockford
11022	61104	IL	Winnebago	Rockford
11023	61105	IL	Winnebago	Rockford
11024	61106	IL	Winnebago	Rockford
11025	61107	IL	Winnebago	Rockford
11026	61108	IL	Winnebago	Rockford
11027	61109	IL	Winnebago	Rockford
11028	61110	IL	Winnebago	Rockford
11029	61111	IL	Winnebago	Loves Park
11030	61112	IL	Winnebago	Rockford
11031	61114	IL	Winnebago	Rockford
11032	61115	IL	Winnebago	Machesney Park
11033	61125	IL	Winnebago	Rockford
11034	61126	IL	Winnebago	Rockford
11035	61130	IL	Winnebago	Loves Park
11036	61131	IL	Winnebago	Loves Park
11037	61132	IL	Winnebago	Loves Park
11038	61201	IL	Rock Island	Rock Island
11039	61204	IL	Rock Island	Rock Island
11040	61230	IL	Whiteside	Albany
11041	61231	IL	Mercer	Aledo
11042	61232	IL	Rock Island	Andalusia
11043	61233	IL	Henry	Andover
11044	61234	IL	Henry	Annawan
11045	61235	IL	Henry	Atkinson
11046	61236	IL	Rock Island	Barstow
11047	61237	IL	Rock Island	Buffalo Prairie
11048	61238	IL	Henry	Cambridge
11049	61239	IL	Rock Island	Carbon Cliff
11050	61240	IL	Rock Island	Coal Valley
11051	61241	IL	Henry	Colona
11052	61242	IL	Rock Island	Cordova
11053	61243	IL	Whiteside	Deer Grove
11054	61244	IL	Rock Island	East Moline
11055	61250	IL	Whiteside	Erie
11056	61251	IL	Whiteside	Fenton
11057	61252	IL	Whiteside	Fulton
11058	61254	IL	Henry	Geneseo
11059	61256	IL	Rock Island	Hampton
11060	61257	IL	Rock Island	Hillsdale
11061	61258	IL	Henry	Hooppole
11062	61259	IL	Rock Island	Illinois City
11063	61260	IL	Mercer	Joy
11064	61261	IL	Whiteside	Lyndon
11065	61262	IL	Henry	Lynn Center
11066	61263	IL	Mercer	Matherville
11067	61264	IL	Rock Island	Milan
11068	61265	IL	Rock Island	Moline
11069	61266	IL	Rock Island	Moline
11070	61270	IL	Whiteside	Morrison
11071	61272	IL	Mercer	New Boston
11072	61273	IL	Henry	Orion
11073	61274	IL	Henry	Osco
11074	61275	IL	Rock Island	Port Byron
11075	61276	IL	Mercer	Preemption
11076	61277	IL	Whiteside	Prophetstown
11077	61278	IL	Rock Island	Rapids City
11078	61279	IL	Rock Island	Reynolds
11079	61281	IL	Mercer	Sherrard
11080	61282	IL	Rock Island	Silvis
11081	61283	IL	Whiteside	Tampico
11082	61284	IL	Rock Island	Taylor Ridge
11083	61285	IL	Carroll	Thomson
11084	61299	IL	Rock Island	Rock Island
11085	61301	IL	La Salle	La Salle
11086	61310	IL	Lee	Amboy
11087	61311	IL	Livingston	Ancona
11088	61312	IL	Bureau	Arlington
11089	61313	IL	Livingston	Blackstone
11090	61314	IL	Bureau	Buda
11091	61315	IL	Bureau	Bureau
11092	61316	IL	La Salle	Cedar Point
11093	61317	IL	Bureau	Cherry
11094	61318	IL	Lee	Compton
11095	61319	IL	Livingston	Cornell
11096	61320	IL	Bureau	Dalzell
11097	61321	IL	La Salle	Dana
11098	61322	IL	Bureau	Depue
11099	61323	IL	Bureau	Dover
11100	61324	IL	Lee	Eldena
11101	61325	IL	La Salle	Grand Ridge
11102	61326	IL	Putnam	Granville
11103	61327	IL	Putnam	Hennepin
11104	61328	IL	Bureau	Kasbeer
11105	61329	IL	Bureau	Ladd
11106	61330	IL	Bureau	La Moille
11107	61331	IL	Lee	Lee Center
11108	61332	IL	La Salle	Leonore
11109	61333	IL	Livingston	Long Point
11110	61334	IL	La Salle	Lostant
11111	61335	IL	Putnam	McNabb
11112	61336	IL	Putnam	Magnolia
11113	61337	IL	Bureau	Malden
11114	61338	IL	Bureau	Manlius
11115	61340	IL	Putnam	Mark
11116	61341	IL	La Salle	Marseilles
11117	61342	IL	La Salle	Mendota
11118	61344	IL	Bureau	Mineral
11119	61345	IL	Bureau	Neponset
11120	61346	IL	Bureau	New Bedford
11121	61348	IL	La Salle	Oglesby
11122	61349	IL	Bureau	Ohio
11123	61350	IL	La Salle	Ottawa
11124	61353	IL	Lee	Paw Paw
11125	61354	IL	La Salle	Peru
11126	61356	IL	Bureau	Princeton
11127	61358	IL	La Salle	Rutland
11128	61359	IL	Bureau	Seatonville
11129	61360	IL	La Salle	Seneca
11130	61361	IL	Bureau	Sheffield
11131	61362	IL	Bureau	Spring Valley
11132	61363	IL	Putnam	Standard
11133	61364	IL	La Salle	Streator
11134	61367	IL	Lee	Sublette
11135	61368	IL	Bureau	Tiskilwa
11136	61369	IL	Marshall	Toluca
11137	61370	IL	La Salle	Tonica
11138	61371	IL	La Salle	Triumph
11139	61372	IL	La Salle	Troy Grove
11140	61373	IL	La Salle	Utica
11141	61374	IL	Bureau	Van Orin
11142	61375	IL	Marshall	Varna
11143	61376	IL	Bureau	Walnut
11144	61377	IL	Marshall	Wenona
11145	61378	IL	Lee	West Brooklyn
11146	61379	IL	Bureau	Wyanet
11147	61401	IL	Knox	Galesburg
11148	61402	IL	Knox	Galesburg
11149	61410	IL	Knox	Abingdon
11150	61411	IL	McDonough	Adair
11151	61412	IL	Mercer	Alexis
11152	61413	IL	Henry	Alpha
11153	61414	IL	Knox	Altona
11154	61415	IL	Fulton	Avon
11155	61416	IL	McDonough	Bardolph
11156	61417	IL	Warren	Berwick
11157	61418	IL	Henderson	Biggsville
11158	61419	IL	Henry	Bishop Hill
11159	61420	IL	McDonough	Blandinsville
11160	61421	IL	Stark	Bradford
11161	61422	IL	McDonough	Bushnell
11162	61423	IL	Warren	Cameron
11163	61424	IL	Marshall	Camp Grove
11164	61425	IL	Henderson	Carman
11165	61426	IL	Stark	Castleton
11166	61427	IL	Fulton	Cuba
11167	61428	IL	Knox	Dahinda
11168	61430	IL	Knox	East Galesburg
11169	61431	IL	Fulton	Ellisville
11170	61432	IL	Fulton	Fairview
11171	61433	IL	Fulton	Fiatt
11172	61434	IL	Henry	Galva
11173	61435	IL	Warren	Gerlaw
11174	61436	IL	Knox	Gilson
11175	61437	IL	Henderson	Gladstone
11176	61438	IL	McDonough	Good Hope
11177	61439	IL	Knox	Henderson
11178	61440	IL	McDonough	Industry
11179	61441	IL	Fulton	Ipava
11180	61442	IL	Mercer	Keithsburg
11181	61443	IL	Henry	Kewanee
11182	61447	IL	Warren	Kirkwood
11183	61448	IL	Knox	Knoxville
11184	61449	IL	Stark	La Fayette
11185	61450	IL	Hancock	La Harpe
11186	61451	IL	Peoria	Laura
11187	61452	IL	Schuyler	Littleton
11188	61453	IL	Warren	Little York
11189	61454	IL	Henderson	Lomax
11190	61455	IL	McDonough	Macomb
11191	61458	IL	Knox	Maquon
11192	61459	IL	Fulton	Marietta
11193	61460	IL	Henderson	Media
11194	61462	IL	Warren	Monmouth
11195	61465	IL	Mercer	New Windsor
11196	61466	IL	Mercer	North Henderson
11197	61467	IL	Knox	Oneida
11198	61468	IL	Henry	Ophiem
11199	61469	IL	Henderson	Oquawka
11200	61470	IL	McDonough	Prairie City
11201	61471	IL	Henderson	Raritan
11202	61472	IL	Knox	Rio
11203	61473	IL	Warren	Roseville
11204	61474	IL	Knox	Saint Augustine
11205	61475	IL	McDonough	Sciota
11206	61476	IL	Mercer	Seaton
11207	61477	IL	Fulton	Smithfield
11208	61478	IL	Warren	Smithshire
11209	61479	IL	Stark	Speer
11210	61480	IL	Henderson	Stronghurst
11211	61482	IL	Fulton	Table Grove
11212	61483	IL	Stark	Toulon
11213	61484	IL	Fulton	Vermont
11214	61485	IL	Knox	Victoria
11215	61486	IL	Mercer	Viola
11216	61488	IL	Knox	Wataga
11217	61489	IL	Knox	Williamsfield
11218	61490	IL	Henry	Woodhull
11219	61491	IL	Stark	Wyoming
11220	61501	IL	Fulton	Astoria
11221	61516	IL	Woodford	Benson
11222	61517	IL	Peoria	Brimfield
11223	61519	IL	Fulton	Bryant
11224	61520	IL	Fulton	Canton
11225	61523	IL	Peoria	Chillicothe
11226	61524	IL	Fulton	Dunfermline
11227	61525	IL	Peoria	Dunlap
11228	61526	IL	Peoria	Edelstein
11229	61528	IL	Peoria	Edwards
11230	61529	IL	Peoria	Elmwood
11231	61530	IL	Woodford	Eureka
11232	61531	IL	Fulton	Farmington
11233	61532	IL	Mason	Forest City
11234	61533	IL	Peoria	Glasford
11235	61534	IL	Tazewell	Green Valley
11236	61535	IL	Tazewell	Groveland
11237	61536	IL	Peoria	Hanna City
11238	61537	IL	Marshall	Henry
11239	61539	IL	Peoria	Kingston Mines
11240	61540	IL	Marshall	Lacon
11241	61541	IL	Marshall	La Rose
11242	61542	IL	Fulton	Lewistown
11243	61543	IL	Fulton	Liverpool
11244	61544	IL	Fulton	London Mills
11245	61545	IL	Woodford	Lowpoint
11246	61546	IL	Mason	Manito
11247	61547	IL	Peoria	Mapleton
11248	61548	IL	Woodford	Metamora
11249	61550	IL	Tazewell	Morton
11250	61552	IL	Peoria	Mossville
11251	61553	IL	Fulton	Norris
11252	61554	IL	Tazewell	Pekin
11253	61555	IL	Tazewell	Pekin
11254	61558	IL	Tazewell	Pekin
11255	61559	IL	Peoria	Princeville
11256	61560	IL	Putnam	Putnam
11257	61561	IL	Woodford	Roanoke
11258	61562	IL	Peoria	Rome
11259	61563	IL	Fulton	Saint David
11260	61564	IL	Tazewell	South Pekin
11261	61565	IL	Marshall	Sparland
11262	61567	IL	Mason	Topeka
11263	61568	IL	Tazewell	Tremont
11264	61569	IL	Peoria	Trivoli
11265	61570	IL	Marshall	Washburn
11266	61571	IL	Tazewell	Washington
11267	61572	IL	Knox	Yates City
11268	61601	IL	Peoria	Peoria
11269	61602	IL	Peoria	Peoria
11270	61603	IL	Peoria	Peoria
11271	61604	IL	Peoria	Peoria
11272	61605	IL	Peoria	Peoria
11273	61606	IL	Peoria	Peoria
11274	61607	IL	Peoria	Peoria
11275	61610	IL	Tazewell	Creve Coeur
11276	61611	IL	Tazewell	East Peoria
11277	61612	IL	Peoria	Peoria
11278	61613	IL	Peoria	Peoria
11279	61614	IL	Peoria	Peoria
11280	61615	IL	Peoria	Peoria
11281	61616	IL	Peoria	Peoria Heights
11282	61625	IL	Peoria	Peoria
11283	61629	IL	Peoria	Peoria
11284	61630	IL	Peoria	Peoria
11285	61633	IL	Peoria	Peoria
11286	61634	IL	Peoria	Peoria
11287	61635	IL	Peoria	Peoria
11288	61636	IL	Peoria	Peoria
11289	61637	IL	Peoria	Peoria
11290	61638	IL	Peoria	Peoria
11291	61639	IL	Peoria	Peoria
11292	61641	IL	Peoria	Peoria
11293	61643	IL	Peoria	Peoria
11294	61650	IL	Peoria	Peoria
11295	61651	IL	Peoria	Peoria
11296	61652	IL	Peoria	Peoria
11297	61653	IL	Peoria	Peoria
11298	61654	IL	Peoria	Peoria
11299	61655	IL	Peoria	Peoria
11300	61656	IL	Peoria	Peoria
11301	61701	IL	McLean	Bloomington
11302	61702	IL	McLean	Bloomington
11303	61704	IL	McLean	Bloomington
11304	61709	IL	McLean	Bloomington
11305	61710	IL	McLean	Bloomington
11306	61720	IL	McLean	Anchor
11307	61721	IL	Tazewell	Armington
11308	61722	IL	McLean	Arrowsmith
11309	61723	IL	Logan	Atlanta
11310	61724	IL	McLean	Bellflower
11311	61725	IL	McLean	Carlock
11312	61726	IL	McLean	Chenoa
11313	61727	IL	Dewitt	Clinton
11314	61728	IL	McLean	Colfax
11315	61729	IL	Woodford	Congerville
11316	61730	IL	McLean	Cooksville
11317	61731	IL	McLean	Cropsey
11318	61732	IL	McLean	Danvers
11319	61733	IL	Tazewell	Deer Creek
11320	61734	IL	Tazewell	Delavan
11321	61735	IL	Dewitt	Dewitt
11322	61736	IL	McLean	Downs
11323	61737	IL	McLean	Ellsworth
11324	61738	IL	Woodford	El Paso
11325	61739	IL	Livingston	Fairbury
11326	61740	IL	Livingston	Flanagan
11327	61741	IL	Livingston	Forrest
11328	61742	IL	Woodford	Goodfield
11329	61743	IL	Livingston	Graymont
11330	61744	IL	McLean	Gridley
11331	61745	IL	McLean	Heyworth
11332	61747	IL	Tazewell	Hopedale
11333	61748	IL	McLean	Hudson
11334	61749	IL	Dewitt	Kenney
11335	61750	IL	Dewitt	Lane
11336	61751	IL	Logan	Lawndale
11337	61752	IL	McLean	Le Roy
11338	61753	IL	McLean	Lexington
11339	61754	IL	McLean	McLean
11340	61755	IL	Tazewell	Mackinaw
11341	61756	IL	Macon	Maroa
11342	61758	IL	McLean	Merna
11343	61759	IL	Tazewell	Minier
11344	61760	IL	Woodford	Minonk
11345	61761	IL	McLean	Normal
11346	61764	IL	Livingston	Pontiac
11347	61769	IL	Livingston	Saunemin
11348	61770	IL	McLean	Saybrook
11349	61771	IL	Woodford	Secor
11350	61772	IL	McLean	Shirley
11351	61773	IL	Ford	Sibley
11352	61774	IL	McLean	Stanford
11353	61775	IL	Livingston	Strawn
11354	61776	IL	McLean	Towanda
11355	61777	IL	Dewitt	Wapella
11356	61778	IL	Dewitt	Waynesville
11357	61790	IL	McLean	Normal
11358	61791	IL	McLean	Bloomington
11359	61799	IL	McLean	Bloomington
11360	61801	IL	Champaign	Urbana
11361	61802	IL	Champaign	Urbana
11362	61803	IL	Champaign	Urbana
11363	61810	IL	Vermilion	Allerton
11364	61811	IL	Vermilion	Alvin
11365	61812	IL	Vermilion	Armstrong
11366	61813	IL	Piatt	Bement
11367	61814	IL	Vermilion	Bismarck
11368	61815	IL	Champaign	Bondville
11369	61816	IL	Champaign	Broadlands
11370	61817	IL	Vermilion	Catlin
11371	61818	IL	Piatt	Cerro Gordo
11372	61820	IL	Champaign	Champaign
11373	61821	IL	Champaign	Champaign
11374	61822	IL	Champaign	Champaign
11375	61824	IL	Champaign	Champaign
11376	61825	IL	Champaign	Champaign
11377	61826	IL	Champaign	Champaign
11378	61830	IL	Piatt	Cisco
11379	61831	IL	Vermilion	Collison
11380	61832	IL	Vermilion	Danville
11381	61833	IL	Vermilion	Tilton
11382	61834	IL	Vermilion	Danville
11383	61839	IL	Piatt	De Land
11384	61840	IL	Champaign	Dewey
11385	61841	IL	Vermilion	Fairmount
11386	61842	IL	Dewitt	Farmer City
11387	61843	IL	Champaign	Fisher
11388	61844	IL	Vermilion	Fithian
11389	61845	IL	Champaign	Foosland
11390	61846	IL	Vermilion	Georgetown
11391	61847	IL	Champaign	Gifford
11392	61848	IL	Vermilion	Henning
11393	61849	IL	Champaign	Homer
11394	61850	IL	Vermilion	Indianola
11395	61851	IL	Champaign	Ivesdale
11396	61852	IL	Champaign	Longview
11397	61853	IL	Champaign	Mahomet
11398	61854	IL	Piatt	Mansfield
11399	61855	IL	Piatt	Milmine
11400	61856	IL	Piatt	Monticello
11401	61857	IL	Vermilion	Muncie
11402	61858	IL	Vermilion	Oakwood
11403	61859	IL	Champaign	Ogden
11404	61862	IL	Champaign	Penfield
11405	61863	IL	Champaign	Pesotum
11406	61864	IL	Champaign	Philo
11407	61865	IL	Vermilion	Potomac
11408	61866	IL	Champaign	Rantoul
11409	61870	IL	Vermilion	Ridge Farm
11410	61871	IL	Champaign	Royal
11411	61872	IL	Champaign	Sadorus
11412	61873	IL	Champaign	Saint Joseph
11413	61874	IL	Champaign	Savoy
11414	61875	IL	Champaign	Seymour
11415	61876	IL	Vermilion	Sidell
11416	61877	IL	Champaign	Sidney
11417	61878	IL	Champaign	Thomasboro
11418	61880	IL	Champaign	Tolono
11419	61882	IL	Dewitt	Weldon
11420	61883	IL	Vermilion	Westville
11421	61884	IL	Piatt	White Heath
11422	61910	IL	Douglas	Arcola
11423	61911	IL	Douglas	Arthur
11424	61912	IL	Coles	Ashmore
11425	61913	IL	Douglas	Atwood
11426	61914	IL	Moultrie	Bethany
11427	61917	IL	Edgar	Brocton
11428	61919	IL	Douglas	Camargo
11429	61920	IL	Coles	Charleston
11430	61924	IL	Edgar	Chrisman
11431	61925	IL	Moultrie	Dalton City
11432	61928	IL	Moultrie	Gays
11433	61929	IL	Piatt	Hammond
11434	61930	IL	Douglas	Hindsboro
11435	61931	IL	Coles	Humboldt
11436	61932	IL	Edgar	Hume
11437	61933	IL	Edgar	Kansas
11438	61936	IL	Piatt	La Place
11439	61937	IL	Moultrie	Lovington
11440	61938	IL	Coles	Mattoon
11441	61940	IL	Edgar	Metcalf
11442	61941	IL	Douglas	Murdock
11443	61942	IL	Douglas	Newman
11444	61943	IL	Coles	Oakland
11445	61944	IL	Edgar	Paris
11446	61949	IL	Edgar	Redmon
11447	61951	IL	Moultrie	Sullivan
11448	61953	IL	Douglas	Tuscola
11449	61955	IL	Edgar	Vermilion
11450	61956	IL	Douglas	Villa Grove
11451	61957	IL	Shelby	Windsor
11452	62001	IL	Madison	Alhambra
11453	62002	IL	Madison	Alton
11454	62006	IL	Calhoun	Batchtown
11455	62009	IL	Macoupin	Benld
11456	62010	IL	Madison	Bethalto
11457	62011	IL	Fayette	Bingham
11458	62012	IL	Macoupin	Brighton
11459	62013	IL	Calhoun	Brussels
11460	62014	IL	Macoupin	Bunker Hill
11461	62015	IL	Montgomery	Butler
11462	62016	IL	Greene	Carrollton
11463	62017	IL	Montgomery	Coffeen
11464	62018	IL	Madison	Cottage Hills
11465	62019	IL	Montgomery	Donnellson
11466	62021	IL	Madison	Dorsey
11467	62022	IL	Jersey	Dow
11468	62023	IL	Macoupin	Eagarville
11469	62024	IL	Madison	East Alton
11470	62025	IL	Madison	Edwardsville
11471	62026	IL	Madison	Edwardsville
11472	62027	IL	Greene	Eldred
11473	62028	IL	Jersey	Elsah
11474	62030	IL	Jersey	Fidelity
11475	62031	IL	Jersey	Fieldon
11476	62032	IL	Montgomery	Fillmore
11477	62033	IL	Macoupin	Gillespie
11478	62034	IL	Madison	Glen Carbon
11479	62035	IL	Madison	Godfrey
11480	62036	IL	Calhoun	Golden Eagle
11481	62037	IL	Jersey	Grafton
11482	62040	IL	Madison	Granite City
11483	62044	IL	Greene	Greenfield
11484	62045	IL	Calhoun	Hamburg
11485	62046	IL	Madison	Hamel
11486	62047	IL	Calhoun	Hardin
11487	62048	IL	Madison	Hartford
11488	62049	IL	Montgomery	Hillsboro
11489	62050	IL	Greene	Hillview
11490	62051	IL	Montgomery	Irving
11491	62052	IL	Jersey	Jerseyville
11492	62053	IL	Calhoun	Kampsville
11493	62054	IL	Greene	Kane
11494	62056	IL	Montgomery	Litchfield
11495	62058	IL	Madison	Livingston
11496	62059	IL	Saint Clair	Lovejoy
11497	62060	IL	Madison	Madison
11498	62061	IL	Madison	Marine
11499	62062	IL	Madison	Maryville
11500	62063	IL	Jersey	Medora
11501	62065	IL	Calhoun	Michael
11502	62067	IL	Madison	Moro
11503	62069	IL	Macoupin	Mount Olive
11504	62070	IL	Calhoun	Mozier
11505	62071	IL	Saint Clair	National Stock Yards
11506	62074	IL	Madison	New Douglas
11507	62075	IL	Montgomery	Nokomis
11508	62076	IL	Montgomery	Ohlman
11509	62077	IL	Montgomery	Panama
11510	62078	IL	Greene	Patterson
11511	62079	IL	Macoupin	Piasa
11512	62080	IL	Fayette	Ramsey
11513	62081	IL	Greene	Rockbridge
11514	62082	IL	Greene	Roodhouse
11515	62083	IL	Christian	Rosamond
11516	62084	IL	Madison	Roxana
11517	62085	IL	Macoupin	Sawyerville
11518	62086	IL	Bond	Sorento
11519	62087	IL	Madison	South Roxana
11520	62088	IL	Macoupin	Staunton
11521	62089	IL	Montgomery	Taylor Springs
11522	62090	IL	Madison	Venice
11523	62091	IL	Montgomery	Walshville
11524	62092	IL	Greene	White Hall
11525	62093	IL	Macoupin	Wilsonville
11526	62094	IL	Montgomery	Witt
11527	62095	IL	Madison	Wood River
11528	62097	IL	Madison	Worden
11529	62098	IL	Greene	Wrights
11530	62201	IL	Saint Clair	East Saint Louis
11531	62202	IL	Saint Clair	East Saint Louis
11532	62203	IL	Saint Clair	East Saint Louis
11533	62204	IL	Saint Clair	East Saint Louis
11534	62205	IL	Saint Clair	East Saint Louis
11535	62206	IL	Saint Clair	East Saint Louis
11536	62207	IL	Saint Clair	East Saint Louis
11537	62208	IL	Saint Clair	Fairview Heights
11538	62214	IL	Washington	Addieville
11539	62215	IL	Clinton	Albers
11540	62216	IL	Clinton	Aviston
11541	62217	IL	Randolph	Baldwin
11542	62218	IL	Clinton	Bartelso
11543	62219	IL	Clinton	Beckemeyer
11544	62220	IL	Saint Clair	Belleville
11545	62221	IL	Saint Clair	Belleville
11546	62222	IL	Saint Clair	Belleville
11547	62223	IL	Saint Clair	Belleville
